posting_id,title_clean,contract_type,city,cluster_id,cluster_name,num_skills,silhouette_score
SS-BER-20240901-002,Senior Data Engineer,Full-time,Berlin,2,Cloud Data Engineering,15,0.61
SS-DOR-20240512-001,Senior Data Analyst,Full-time,Dortmund,4,Enterprise BI & Reporting,8,0.61
SS-BER-20240713-001,Data Scientist,Full-time,Berlin,1,Core Analytics & Student Entry,5,0.61
LI-LEI-20240707-001,Business Intelligence Analyst,Full-time,Leipzig,2,Cloud Data Engineering,11,0.61
IND-COL-20240731-001,Data Analyst,Full-time,Cologne,2,Cloud Data Engineering,12,0.61
IND-DOR-20250204-001,Werkstudent Machine Learning,Werkstudent,Dortmund,1,Core Analytics & Student Entry,6,0.61
IND-BER-20240706-001,Werkstudent Machine Learning,Werkstudent,Berlin,2,Cloud Data Engineering,12,0.61
SS-OTH-20240214-001,Contract ML Engineer,Freelance/Contract,Other,1,Core Analytics & Student Entry,5,0.61
SS-BER-20250228-001,Werkstudent Machine Learning,Werkstudent,Berlin,1,Core Analytics & Student Entry,8,0.61
IND-COL-20250308-001,Werkstudent Data Analytics,Werkstudent,Cologne,1,Core Analytics & Student Entry,6,0.61
SS-COL-20240414-001,Data Analyst,Full-time,Cologne,2,Cloud Data Engineering,11,0.61
IND-BER-20240317-001,Praktikant Data Analyst,Praktikum,Berlin,1,Core Analytics & Student Entry,7,0.61
SS-BER-20240625-002,Data Analyst,Full-time,Berlin,4,Enterprise BI & Reporting,4,0.61
SS-STU-20240503-001,Senior Data Analyst,Full-time,Stuttgart,2,Cloud Data Engineering,13,0.61
SS-MUN-20240902-001,Werkstudent Data Engineering,Werkstudent,Munich,1,Core Analytics & Student Entry,6,0.61
IND-HAM-20240526-001,Senior Data Engineer,Full-time,Hamburg,2,Cloud Data Engineering,12,0.61
SS-DOR-20240515-002,Senior Data Analyst,Full-time,Dortmund,4,Enterprise BI & Reporting,10,0.61
IND-FRA-20240629-001,Data Scientist,Full-time,Frankfurt,2,Cloud Data Engineering,12,0.61
IND-DOR-20240707-001,Data Architect,Full-time,Dortmund,1,Core Analytics & Student Entry,5,0.61
SS-ESS-20240416-001,Senior Data Engineer,Full-time,Essen,2,Cloud Data Engineering,12,0.61
SS-DOR-20240703-001,Data Scientist,Full-time,Dortmund,2,Cloud Data Engineering,13,0.61
SS-DÜS-20240529-001,Data Scientist,Full-time,Düsseldorf,4,Enterprise BI & Reporting,6,0.61
LI-COL-20250216-001,Analytics Engineer,Full-time,Cologne,3,ML & Research,16,0.61
IND-LEI-20240919-001,ML Engineer,Full-time,Leipzig,3,ML & Research,7,0.61
IND-BER-20240830-001,Analytics Engineer,Full-time,Berlin,2,Cloud Data Engineering,12,0.61
SS-BER-20240901-001,Senior Data Engineer,Full-time,Berlin,2,Cloud Data Engineering,12,0.61
SS-MUN-20240513-001,Data Architect,Full-time,Munich,2,Cloud Data Engineering,16,0.61
LI-BER-20241105-001,Senior Data Analyst,Full-time,Berlin,2,Cloud Data Engineering,15,0.61
SS-COL-20250109-001,Werkstudent Machine Learning,Werkstudent,Cologne,1,Core Analytics & Student Entry,6,0.61
IND-FRA-20250220-001,Werkstudent Data Science,Werkstudent,Frankfurt,1,Core Analytics & Student Entry,8,0.61
LI-MUN-20240505-002,Data Engineer,Full-time,Munich,2,Cloud Data Engineering,12,0.61
IND-STU-20240609-001,BI Engineer,Full-time,Stuttgart,4,Enterprise BI & Reporting,9,0.61
LI-HAM-20240607-001,Freelance Data Engineer,Freelance/Contract,Hamburg,4,Enterprise BI & Reporting,9,0.61
SS-MUN-20250109-001,Werkstudent Data Engineering,Werkstudent,Munich,1,Core Analytics & Student Entry,7,0.61
LI-ESS-20250112-001,Werkstudent Data Science,Werkstudent,Essen,1,Core Analytics & Student Entry,6,0.61
SS-BER-20250208-001,Werkstudent BI,Werkstudent,Berlin,1,Core Analytics & Student Entry,7,0.61
SS-HAM-20241215-001,Data Scientist,Full-time,Hamburg,2,Cloud Data Engineering,13,0.61
SS-BER-20240719-001,Senior Data Engineer,Full-time,Berlin,3,ML & Research,16,0.61
IND-HAM-20241209-001,Analytics Engineer,Full-time,Hamburg,4,Enterprise BI & Reporting,9,0.61
IND-LEI-20240830-001,Praktikant Data Analyst,Praktikum,Leipzig,1,Core Analytics & Student Entry,8,0.61
LI-OTH-20241008-001,ML Engineer,Full-time,Other,1,Core Analytics & Student Entry,10,0.61
IND-HAM-20241231-001,Data Scientist,Full-time,Hamburg,2,Cloud Data Engineering,15,0.61
SS-OTH-20240727-001,Praktikant Data Science,Praktikum,Other,1,Core Analytics & Student Entry,8,0.61
SS-FRA-20241119-001,Data Scientist,Full-time,Frankfurt,4,Enterprise BI & Reporting,8,0.61
IND-BER-20241030-001,BI Engineer,Full-time,Berlin,2,Cloud Data Engineering,10,0.61
LI-NUR-20250228-001,Data Scientist,Full-time,Nuremberg,2,Cloud Data Engineering,12,0.61
IND-LEI-20240120-001,Werkstudent Data Science,Werkstudent,Leipzig,1,Core Analytics & Student Entry,7,0.61
LI-MUN-20250127-001,Business Intelligence Analyst,Full-time,Munich,2,Cloud Data Engineering,12,0.61
IND-STU-20250106-001,Werkstudent Data Engineering,Werkstudent,Stuttgart,1,Core Analytics & Student Entry,10,0.61
IND-COL-20241026-001,Senior Data Engineer,Full-time,Cologne,4,Enterprise BI & Reporting,4,0.61
SS-MUN-20250320-001,Praktikant Business Intelligence,Praktikum,Munich,1,Core Analytics & Student Entry,6,0.61
LI-HAM-20240604-001,Senior Data Engineer,Full-time,Hamburg,2,Cloud Data Engineering,12,0.61
IND-BER-20240506-001,BI Engineer,Full-time,Berlin,4,Enterprise BI & Reporting,9,0.61
IND-BER-20240603-001,Business Intelligence Analyst,Full-time,Berlin,2,Cloud Data Engineering,7,0.61
IND-STU-20250320-002,Data Architect,Full-time,Stuttgart,4,Enterprise BI & Reporting,4,0.61
IND-MUN-20241014-001,Praktikant Data Analyst,Praktikum,Munich,1,Core Analytics & Student Entry,7,0.61
IND-BER-20240131-001,Werkstudent Machine Learning,Werkstudent,Berlin,1,Core Analytics & Student Entry,6,0.61
SS-BER-20240224-001,Werkstudent Machine Learning,Werkstudent,Berlin,1,Core Analytics & Student Entry,9,0.61
IND-FRA-20240228-001,Werkstudent Data Engineering,Werkstudent,Frankfurt,1,Core Analytics & Student Entry,9,0.61
LI-DOR-20241123-001,Data Scientist,Full-time,Dortmund,1,Core Analytics & Student Entry,6,0.61
LI-MUN-20240930-001,Data Architect,Full-time,Munich,2,Cloud Data Engineering,13,0.61
LI-MUN-20240814-001,Analytics Engineer,Full-time,Munich,1,Core Analytics & Student Entry,5,0.61
LI-OTH-20240122-001,Praktikant Data Analyst,Praktikum,Other,1,Core Analytics & Student Entry,11,0.61
SS-OTH-20241122-001,Praktikant Data Analyst,Praktikum,Other,1,Core Analytics & Student Entry,8,0.61
LI-BER-20240823-001,Freelance Data Engineer,Freelance/Contract,Berlin,1,Core Analytics & Student Entry,9,0.61
SS-FRA-20240301-001,Werkstudent Data Analytics,Werkstudent,Frankfurt,1,Core Analytics & Student Entry,6,0.61
LI-MUN-20240812-001,Analytics Engineer,Full-time,Munich,3,ML & Research,14,0.61
SS-FRA-20240521-002,Data Scientist,Full-time,Frankfurt,1,Core Analytics & Student Entry,3,0.61
IND-HAM-20240720-001,Data Architect,Full-time,Hamburg,1,Core Analytics & Student Entry,4,0.61
SS-BER-20240311-001,BI Engineer,Full-time,Berlin,1,Core Analytics & Student Entry,9,0.61
SS-NUR-20240520-001,Business Intelligence Analyst,Full-time,Nuremberg,3,ML & Research,8,0.61
IND-FRA-20240514-001,Data Architect,Full-time,Frankfurt,3,ML & Research,12,0.61
IND-HAM-20250105-001,Data Architect,Full-time,Hamburg,3,ML & Research,10,0.61
LI-NUR-20250119-001,Werkstudent Data Science,Werkstudent,Nuremberg,3,ML & Research,13,0.61
SS-FRA-20241101-001,Analytics Engineer,Full-time,Frankfurt,2,Cloud Data Engineering,9,0.61
SS-HAM-20250319-002,Werkstudent Data Analytics,Werkstudent,Hamburg,1,Core Analytics & Student Entry,8,0.61
IND-ESS-20240301-001,Analytics Engineer,Full-time,Essen,3,ML & Research,18,0.61
SS-HAM-20240317-001,Werkstudent Data Science,Werkstudent,Hamburg,1,Core Analytics & Student Entry,7,0.61
SS-ESS-20250327-001,Senior Data Analyst,Full-time,Essen,4,Enterprise BI & Reporting,13,0.61
SS-COL-20241214-001,BI Engineer,Full-time,Cologne,4,Enterprise BI & Reporting,6,0.61
IND-BER-20241202-002,Data Scientist,Full-time,Berlin,2,Cloud Data Engineering,13,0.61
SS-MUN-20241010-001,Data Architect,Full-time,Munich,3,ML & Research,11,0.61
IND-COL-20240223-001,Data Engineer,Full-time,Cologne,1,Core Analytics & Student Entry,7,0.61
SS-HAM-20250330-001,Analytics Engineer,Full-time,Hamburg,4,Enterprise BI & Reporting,9,0.61
SS-ESS-20250323-001,Werkstudent Data Analytics,Werkstudent,Essen,1,Core Analytics & Student Entry,5,0.61
IND-MUN-20240816-001,Data Scientist,Full-time,Munich,3,ML & Research,9,0.61
LI-FRA-20240904-001,Werkstudent Data Analytics,Werkstudent,Frankfurt,2,Cloud Data Engineering,16,0.61
LI-STU-20250312-001,Analytics Engineer,Full-time,Stuttgart,3,ML & Research,13,0.61
IND-STU-20241029-001,Data Analyst,Full-time,Stuttgart,4,Enterprise BI & Reporting,7,0.61
SS-OTH-20250127-001,BI Engineer,Full-time,Other,3,ML & Research,9,0.61
IND-HAM-20241206-001,Freelance BI Consultant,Freelance/Contract,Hamburg,2,Cloud Data Engineering,14,0.61
IND-HAM-20240123-001,Contract Data Analyst,Freelance/Contract,Hamburg,1,Core Analytics & Student Entry,7,0.61
LI-BER-20250227-001,BI Engineer,Full-time,Berlin,2,Cloud Data Engineering,10,0.61
SS-HAM-20241121-001,BI Engineer,Full-time,Hamburg,1,Core Analytics & Student Entry,10,0.61
LI-HAM-20240621-001,Praktikant Business Intelligence,Praktikum,Hamburg,1,Core Analytics & Student Entry,5,0.61
SS-DOR-20250319-001,Data Engineer,Full-time,Dortmund,3,ML & Research,13,0.61
IND-ESS-20250327-001,Werkstudent BI,Werkstudent,Essen,1,Core Analytics & Student Entry,8,0.61
IND-FRA-20241026-002,BI Engineer,Full-time,Frankfurt,2,Cloud Data Engineering,13,0.61
SS-MUN-20241231-001,Werkstudent Data Analytics,Werkstudent,Munich,1,Core Analytics & Student Entry,7,0.61
LI-MUN-20241014-001,Data Analyst,Full-time,Munich,4,Enterprise BI & Reporting,8,0.61
SS-BER-20240617-001,Praktikant Data Science,Praktikum,Berlin,1,Core Analytics & Student Entry,10,0.61
IND-BER-20241002-001,Praktikant Business Intelligence,Praktikum,Berlin,1,Core Analytics & Student Entry,7,0.61
SS-STU-20241113-001,Data Analyst,Full-time,Stuttgart,3,ML & Research,12,0.61
IND-FRA-20240818-001,Praktikant Data Analyst,Praktikum,Frankfurt,2,Cloud Data Engineering,11,0.61
SS-BER-20250222-003,Data Scientist,Full-time,Berlin,2,Cloud Data Engineering,17,0.61
SS-HAM-20250319-001,Praktikant Data Analyst,Praktikum,Hamburg,1,Core Analytics & Student Entry,6,0.61
SS-STU-20240915-001,Business Intelligence Analyst,Full-time,Stuttgart,2,Cloud Data Engineering,11,0.61
LI-OTH-20240209-001,Werkstudent BI,Werkstudent,Other,1,Core Analytics & Student Entry,6,0.61
LI-LEI-20250219-001,Business Intelligence Analyst,Full-time,Leipzig,3,ML & Research,11,0.61
IND-MUN-20240303-001,Praktikant Data Analyst,Praktikum,Munich,1,Core Analytics & Student Entry,11,0.61
SS-BER-20240224-003,Praktikant Business Intelligence,Praktikum,Berlin,1,Core Analytics & Student Entry,9,0.61
LI-BER-20250105-001,Werkstudent BI,Werkstudent,Berlin,1,Core Analytics & Student Entry,11,0.61
LI-HAM-20250313-001,Data Scientist,Full-time,Hamburg,1,Core Analytics & Student Entry,7,0.61
LI-NUR-20250310-001,Praktikant Data Science,Praktikum,Nuremberg,1,Core Analytics & Student Entry,8,0.61
SS-MUN-20240314-001,Analytics Engineer,Full-time,Munich,1,Core Analytics & Student Entry,8,0.61
SS-HAM-20250223-001,Praktikant Data Science,Praktikum,Hamburg,1,Core Analytics & Student Entry,10,0.61
LI-DÜS-20240323-001,Senior Data Analyst,Full-time,Düsseldorf,2,Cloud Data Engineering,12,0.61
LI-BER-20240111-001,Praktikant Business Intelligence,Praktikum,Berlin,1,Core Analytics & Student Entry,10,0.61
IND-BER-20250120-001,Analytics Engineer,Full-time,Berlin,1,Core Analytics & Student Entry,4,0.61
IND-HAM-20240913-001,Business Intelligence Analyst,Full-time,Hamburg,3,ML & Research,8,0.61
IND-BER-20241202-001,Werkstudent Data Analytics,Werkstudent,Berlin,1,Core Analytics & Student Entry,7,0.61
IND-STU-20240606-002,Data Engineer,Full-time,Stuttgart,4,Enterprise BI & Reporting,9,0.61
LI-BER-20250206-001,Senior Data Engineer,Full-time,Berlin,2,Cloud Data Engineering,11,0.61
IND-MUN-20250329-001,Praktikant Data Analyst,Praktikum,Munich,1,Core Analytics & Student Entry,4,0.61
LI-MUN-20240315-001,ML Engineer,Full-time,Munich,2,Cloud Data Engineering,13,0.61
SS-MUN-20240321-001,ML Engineer,Full-time,Munich,4,Enterprise BI & Reporting,11,0.61
SS-COL-20240303-001,ML Engineer,Full-time,Cologne,2,Cloud Data Engineering,10,0.61
SS-HAM-20240916-001,Data Analyst,Full-time,Hamburg,2,Cloud Data Engineering,15,0.61
IND-BER-20240127-001,Werkstudent Data Science,Werkstudent,Berlin,1,Core Analytics & Student Entry,9,0.61
SS-COL-20240512-001,Praktikant Analytics,Praktikum,Cologne,4,Enterprise BI & Reporting,9,0.61
LI-DOR-20240914-001,Freelance BI Consultant,Freelance/Contract,Dortmund,1,Core Analytics & Student Entry,4,0.61
SS-ESS-20240811-001,Praktikant Analytics,Praktikum,Essen,1,Core Analytics & Student Entry,6,0.61
IND-BER-20240308-001,Senior Data Engineer,Full-time,Berlin,2,Cloud Data Engineering,12,0.61
SS-HAM-20240519-001,Analytics Engineer,Full-time,Hamburg,3,ML & Research,7,0.61
IND-BER-20240808-001,Werkstudent Data Analytics,Werkstudent,Berlin,4,Enterprise BI & Reporting,8,0.61
IND-FRA-20241204-001,Werkstudent Data Engineering,Werkstudent,Frankfurt,1,Core Analytics & Student Entry,4,0.61
SS-BER-20240114-002,Data Engineer,Full-time,Berlin,3,ML & Research,13,0.61
IND-HAM-20240711-001,Werkstudent BI,Werkstudent,Hamburg,1,Core Analytics & Student Entry,7,0.61
IND-STU-20250228-001,Werkstudent Data Analytics,Werkstudent,Stuttgart,1,Core Analytics & Student Entry,5,0.61
IND-DOR-20240525-001,Senior Data Engineer,Full-time,Dortmund,3,ML & Research,12,0.61
SS-OTH-20240513-001,Data Scientist,Full-time,Other,2,Cloud Data Engineering,14,0.61
IND-OTH-20240210-002,BI Engineer,Full-time,Other,3,ML & Research,13,0.61
IND-MUN-20250306-001,Praktikant Business Intelligence,Praktikum,Munich,1,Core Analytics & Student Entry,10,0.61
SS-OTH-20250322-001,Werkstudent Data Science,Werkstudent,Other,1,Core Analytics & Student Entry,9,0.61
SS-BER-20240809-003,Senior Data Analyst,Full-time,Berlin,2,Cloud Data Engineering,8,0.61
LI-BER-20250209-001,Senior Data Engineer,Full-time,Berlin,1,Core Analytics & Student Entry,8,0.61
IND-OTH-20240215-001,Werkstudent Machine Learning,Werkstudent,Other,1,Core Analytics & Student Entry,8,0.61
IND-COL-20241017-001,Analytics Engineer,Full-time,Cologne,2,Cloud Data Engineering,14,0.61
SS-MUN-20240224-001,Praktikant Business Intelligence,Praktikum,Munich,1,Core Analytics & Student Entry,5,0.61
IND-DOR-20240713-001,Contract Data Analyst,Freelance/Contract,Dortmund,4,Enterprise BI & Reporting,5,0.61
IND-FRA-20250222-001,Data Architect,Full-time,Frankfurt,1,Core Analytics & Student Entry,5,0.61
IND-HAM-20241030-001,ML Engineer,Full-time,Hamburg,2,Cloud Data Engineering,13,0.61
LI-BER-20240610-001,Praktikant Data Science,Praktikum,Berlin,1,Core Analytics & Student Entry,8,0.61
SS-BER-20240627-001,Data Engineer,Full-time,Berlin,1,Core Analytics & Student Entry,9,0.61
LI-MUN-20250309-001,Praktikant Business Intelligence,Praktikum,Munich,1,Core Analytics & Student Entry,8,0.61
SS-COL-20240403-001,Data Engineer,Full-time,Cologne,1,Core Analytics & Student Entry,10,0.61
IND-BER-20240518-001,Werkstudent Data Science,Werkstudent,Berlin,1,Core Analytics & Student Entry,6,0.61
IND-MUN-20240422-001,Werkstudent BI,Werkstudent,Munich,1,Core Analytics & Student Entry,7,0.61
LI-BER-20250209-002,Senior Data Analyst,Full-time,Berlin,4,Enterprise BI & Reporting,6,0.61
SS-HAM-20240222-001,Senior Data Analyst,Full-time,Hamburg,3,ML & Research,9,0.61
IND-HAM-20240627-001,Data Engineer,Full-time,Hamburg,2,Cloud Data Engineering,15,0.61
IND-LEI-20240228-001,Senior Data Analyst,Full-time,Leipzig,4,Enterprise BI & Reporting,9,0.61
SS-NUR-20240318-001,Freelance BI Consultant,Freelance/Contract,Nuremberg,4,Enterprise BI & Reporting,7,0.61
LI-ESS-20241219-001,Praktikant Analytics,Praktikum,Essen,2,Cloud Data Engineering,14,0.61
SS-BER-20250203-001,BI Engineer,Full-time,Berlin,3,ML & Research,11,0.61
SS-FRA-20241115-001,Analytics Engineer,Full-time,Frankfurt,2,Cloud Data Engineering,12,0.61
IND-HAM-20240628-001,Werkstudent Machine Learning,Werkstudent,Hamburg,1,Core Analytics & Student Entry,9,0.61
LI-DOR-20240301-001,Data Analyst,Full-time,Dortmund,4,Enterprise BI & Reporting,6,0.61
IND-DOR-20240926-001,ML Engineer,Full-time,Dortmund,2,Cloud Data Engineering,13,0.61
LI-COL-20241121-001,Werkstudent Machine Learning,Werkstudent,Cologne,1,Core Analytics & Student Entry,5,0.61
LI-HAM-20250129-001,Data Architect,Full-time,Hamburg,2,Cloud Data Engineering,12,0.61
SS-BER-20241108-001,Praktikant Analytics,Praktikum,Berlin,1,Core Analytics & Student Entry,9,0.61
LI-MUN-20250326-001,Contract Data Analyst,Freelance/Contract,Munich,1,Core Analytics & Student Entry,5,0.61
SS-MUN-20240811-002,Analytics Engineer,Full-time,Munich,4,Enterprise BI & Reporting,11,0.61
SS-MUN-20240313-001,Senior Data Analyst,Full-time,Munich,1,Core Analytics & Student Entry,7,0.61
LI-BER-20250213-001,Data Analyst,Full-time,Berlin,3,ML & Research,16,0.61
IND-BER-20241109-001,Senior Data Analyst,Full-time,Berlin,3,ML & Research,12,0.61
SS-COL-20250326-001,Data Scientist,Full-time,Cologne,2,Cloud Data Engineering,14,0.61
SS-MUN-20240802-001,Praktikant Business Intelligence,Praktikum,Munich,1,Core Analytics & Student Entry,7,0.61
SS-MUN-20241212-001,BI Engineer,Full-time,Munich,2,Cloud Data Engineering,17,0.61
IND-MUN-20240504-001,Senior Data Analyst,Full-time,Munich,2,Cloud Data Engineering,12,0.61
LI-MUN-20240130-002,Data Engineer,Full-time,Munich,3,ML & Research,13,0.61
LI-MUN-20250304-001,Contract ML Engineer,Freelance/Contract,Munich,1,Core Analytics & Student Entry,7,0.61
LI-BER-20241024-002,Praktikant Data Analyst,Praktikum,Berlin,1,Core Analytics & Student Entry,5,0.61
SS-OTH-20250218-001,Senior Data Engineer,Full-time,Other,3,ML & Research,12,0.61
LI-HAM-20240225-001,BI Engineer,Full-time,Hamburg,1,Core Analytics & Student Entry,5,0.61
LI-MUN-20250113-001,Praktikant Data Science,Praktikum,Munich,1,Core Analytics & Student Entry,6,0.61
IND-DÜS-20240602-001,BI Engineer,Full-time,Düsseldorf,3,ML & Research,8,0.61
IND-ESS-20240925-001,Werkstudent Data Science,Werkstudent,Essen,1,Core Analytics & Student Entry,7,0.61
SS-BER-20240525-001,Werkstudent Data Engineering,Werkstudent,Berlin,1,Core Analytics & Student Entry,10,0.61
SS-HAM-20240114-001,Data Analyst,Full-time,Hamburg,1,Core Analytics & Student Entry,8,0.61
IND-FRA-20240326-001,Data Architect,Full-time,Frankfurt,3,ML & Research,14,0.61
SS-HAM-20241204-001,Data Engineer,Full-time,Hamburg,1,Core Analytics & Student Entry,7,0.61
LI-MUN-20240109-001,Werkstudent BI,Werkstudent,Munich,1,Core Analytics & Student Entry,10,0.61
LI-ESS-20241230-002,Data Analyst,Full-time,Essen,3,ML & Research,10,0.61
IND-OTH-20240818-001,ML Engineer,Full-time,Other,3,ML & Research,14,0.61
IND-FRA-20240923-001,Data Engineer,Full-time,Frankfurt,1,Core Analytics & Student Entry,6,0.61
IND-MUN-20240602-001,Werkstudent Data Engineering,Werkstudent,Munich,1,Core Analytics & Student Entry,5,0.61
IND-HAM-20240719-001,Werkstudent Data Analytics,Werkstudent,Hamburg,1,Core Analytics & Student Entry,8,0.61
SS-BER-20240103-002,Senior Data Analyst,Full-time,Berlin,2,Cloud Data Engineering,10,0.61
SS-BER-20240628-001,Senior Data Engineer,Full-time,Berlin,2,Cloud Data Engineering,13,0.61
LI-MUN-20240308-002,Praktikant Data Analyst,Praktikum,Munich,2,Cloud Data Engineering,14,0.61
IND-COL-20240417-001,Senior Data Analyst,Full-time,Cologne,2,Cloud Data Engineering,13,0.61
