posting_id,skill,category,confidence_score,extraction_method,contract_type,city,cluster_id
LI-MUN-20241118-001,Jupyter,Programming,0.811,TF-IDF,Praktikum,Munich,1
LI-MUN-20241118-001,AWS,Cloud,0.946,TF-IDF,Praktikum,Munich,1
LI-MUN-20241118-001,R,Programming,0.963,TF-IDF,Praktikum,Munich,1
LI-MUN-20241118-001,Excel,Office,0.924,NER,Praktikum,Munich,1
LI-MUN-20241118-001,Power BI,Visualization,0.915,TF-IDF,Praktikum,Munich,1
LI-MUN-20241118-001,Azure,Cloud,0.969,NER,Praktikum,Munich,1
IND-BER-20240409-001,Python,Programming,0.863,TF-IDF,Full-time,Berlin,1
IND-BER-20240409-001,GCP,Cloud,0.866,NER,Full-time,Berlin,1
IND-BER-20240409-001,Excel,Office,0.823,NER,Full-time,Berlin,1
IND-BER-20240409-001,Power BI,Visualization,0.784,TF-IDF,Full-time,Berlin,1
IND-BER-20240409-001,NumPy,Programming,0.824,NER,Full-time,Berlin,1
IND-BER-20240409-001,SQL,Database,0.781,NER,Full-time,Berlin,1
IND-BER-20240409-001,Tableau,Visualization,0.823,NER,Full-time,Berlin,1
SS-FRA-20240430-001,Python,Programming,0.943,NER,Freelance/Contract,Frankfurt,2
SS-FRA-20240430-001,Git,DevOps,0.878,NER,Freelance/Contract,Frankfurt,2
SS-FRA-20240430-001,Azure,Cloud,0.907,NER,Freelance/Contract,Frankfurt,2
SS-FRA-20240430-001,Airflow,DataEngineering,0.882,TF-IDF,Freelance/Contract,Frankfurt,2
SS-FRA-20240430-001,Spark,BigData,0.889,NER,Freelance/Contract,Frankfurt,2
SS-FRA-20240430-001,Terraform,DataEngineering,0.929,TF-IDF,Freelance/Contract,Frankfurt,2
SS-FRA-20240430-001,Docker,DevOps,0.816,NER,Freelance/Contract,Frankfurt,2
SS-FRA-20240430-001,dbt,DataEngineering,0.905,NER,Freelance/Contract,Frankfurt,2
SS-FRA-20240430-001,AWS,Cloud,0.86,TF-IDF,Freelance/Contract,Frankfurt,2
SS-FRA-20240430-001,GCP,Cloud,0.944,NER,Freelance/Contract,Frankfurt,2
LI-BER-20241215-001,Python,Programming,0.908,NER,Werkstudent,Berlin,1
LI-BER-20241215-001,Git,DevOps,0.792,NER,Werkstudent,Berlin,1
LI-BER-20241215-001,SQL,Database,0.932,NER,Werkstudent,Berlin,1
LI-BER-20241215-001,Jupyter,Programming,0.827,NER,Werkstudent,Berlin,1
LI-BER-20241215-001,Excel,Office,0.882,NER,Werkstudent,Berlin,1
LI-BER-20241215-001,Azure,Cloud,0.86,NER,Werkstudent,Berlin,1
SS-BER-20250326-001,Python,Programming,0.868,NER,Praktikum,Berlin,1
SS-BER-20250326-001,Excel,Office,0.864,TF-IDF,Praktikum,Berlin,1
SS-BER-20250326-001,Power BI,Visualization,0.799,TF-IDF,Praktikum,Berlin,1
SS-BER-20250326-001,Git,DevOps,0.939,NER,Praktikum,Berlin,1
SS-BER-20250326-001,NumPy,Programming,0.956,NER,Praktikum,Berlin,1
SS-BER-20250326-001,SQL,Database,0.812,TF-IDF,Praktikum,Berlin,1
SS-BER-20250326-001,Machine Learning,ML,0.871,TF-IDF,Praktikum,Berlin,1
SS-BER-20250326-001,Tableau,Visualization,0.951,NER,Praktikum,Berlin,1
IND-BER-20240226-001,Python,Programming,0.852,TF-IDF,Praktikum,Berlin,1
IND-BER-20240226-001,Excel,Office,0.83,TF-IDF,Praktikum,Berlin,1
IND-BER-20240226-001,Azure,Cloud,0.834,TF-IDF,Praktikum,Berlin,1
IND-BER-20240226-001,NumPy,Programming,0.906,TF-IDF,Praktikum,Berlin,1
IND-BER-20240226-001,SQL,Database,0.809,NER,Praktikum,Berlin,1
IND-BER-20240226-001,Machine Learning,ML,0.821,NER,Praktikum,Berlin,1
IND-BER-20240226-001,Seaborn,Programming,0.89,TF-IDF,Praktikum,Berlin,1
IND-BER-20240226-001,Tableau,Visualization,0.792,NER,Praktikum,Berlin,1
IND-BER-20240226-001,Power BI,Visualization,0.791,TF-IDF,Praktikum,Berlin,1
SS-DOR-20240711-001,Matplotlib,Programming,0.871,TF-IDF,Full-time,Dortmund,3
SS-DOR-20240711-001,Power BI,Visualization,0.81,TF-IDF,Full-time,Dortmund,3
SS-DOR-20240711-001,Git,DevOps,0.795,NER,Full-time,Dortmund,3
SS-DOR-20240711-001,NumPy,Programming,0.793,NER,Full-time,Dortmund,3
SS-DOR-20240711-001,SQL,Database,0.908,NER,Full-time,Dortmund,3
SS-DOR-20240711-001,Jupyter,Programming,0.857,TF-IDF,Full-time,Dortmund,3
SS-DOR-20240711-001,Machine Learning,ML,0.827,TF-IDF,Full-time,Dortmund,3
SS-DOR-20240711-001,PyTorch,ML,0.788,NER,Full-time,Dortmund,3
SS-DOR-20240711-001,Scikit-learn,ML,0.86,TF-IDF,Full-time,Dortmund,3
SS-DOR-20240711-001,R,Programming,0.887,NER,Full-time,Dortmund,3
SS-DOR-20240711-001,Seaborn,Programming,0.958,NER,Full-time,Dortmund,3
SS-DOR-20240711-001,Docker,DevOps,0.907,NER,Full-time,Dortmund,3
IND-DOR-20250107-001,Python,Programming,0.825,TF-IDF,Full-time,Dortmund,1
IND-DOR-20250107-001,Pandas,Programming,0.805,NER,Full-time,Dortmund,1
IND-DOR-20250107-001,Excel,Office,0.867,NER,Full-time,Dortmund,1
IND-DOR-20250107-001,Power BI,Visualization,0.782,TF-IDF,Full-time,Dortmund,1
IND-DOR-20250107-001,NumPy,Programming,0.97,NER,Full-time,Dortmund,1
IND-DOR-20250107-001,SQL,Database,0.794,NER,Full-time,Dortmund,1
IND-DOR-20250107-001,Jupyter,Programming,0.876,NER,Full-time,Dortmund,1
IND-DOR-20250107-001,Streamlit,Programming,0.957,NER,Full-time,Dortmund,1
IND-DOR-20250107-001,Tableau,Visualization,0.947,NER,Full-time,Dortmund,1
IND-DOR-20250107-001,Looker,Visualization,0.834,TF-IDF,Full-time,Dortmund,1
LI-OTH-20240414-001,NumPy,Programming,0.938,NER,Werkstudent,Other,1
LI-OTH-20240414-001,SQL,Database,0.896,TF-IDF,Werkstudent,Other,1
LI-OTH-20240414-001,Excel,Office,0.781,TF-IDF,Werkstudent,Other,1
LI-OTH-20240414-001,Python,Programming,0.837,NER,Werkstudent,Other,1
LI-OTH-20240414-001,Tableau,Visualization,0.958,NER,Werkstudent,Other,1
LI-OTH-20240414-001,Machine Learning,ML,0.83,NER,Werkstudent,Other,1
SS-FRA-20250215-001,Python,Programming,0.921,NER,Full-time,Frankfurt,1
SS-FRA-20250215-001,Excel,Office,0.832,TF-IDF,Full-time,Frankfurt,1
SS-FRA-20250215-001,Power BI,Visualization,0.82,NER,Full-time,Frankfurt,1
SS-FRA-20250215-001,Git,DevOps,0.819,NER,Full-time,Frankfurt,1
SS-FRA-20250215-001,SQL,Database,0.876,NER,Full-time,Frankfurt,1
SS-FRA-20250215-001,Jupyter,Programming,0.952,NER,Full-time,Frankfurt,1
SS-FRA-20250215-001,Looker,Visualization,0.798,TF-IDF,Full-time,Frankfurt,1
IND-STU-20250110-001,Matplotlib,Programming,0.938,NER,Full-time,Stuttgart,3
IND-STU-20250110-001,TensorFlow,ML,0.781,NER,Full-time,Stuttgart,3
IND-STU-20250110-001,Git,DevOps,0.901,NER,Full-time,Stuttgart,3
IND-STU-20250110-001,NumPy,Programming,0.811,TF-IDF,Full-time,Stuttgart,3
IND-STU-20250110-001,SQL,Database,0.885,TF-IDF,Full-time,Stuttgart,3
IND-STU-20250110-001,Machine Learning,ML,0.887,NER,Full-time,Stuttgart,3
IND-STU-20250110-001,AWS,Cloud,0.794,NER,Full-time,Stuttgart,3
IND-STU-20250110-001,Seaborn,Programming,0.884,NER,Full-time,Stuttgart,3
IND-STU-20250110-001,Docker,DevOps,0.891,NER,Full-time,Stuttgart,3
IND-STU-20250110-001,Python,Programming,0.862,NER,Full-time,Stuttgart,3
LI-HAM-20240828-001,SQL,Database,0.839,NER,Praktikum,Hamburg,1
LI-HAM-20240828-001,Power BI,Visualization,0.951,NER,Praktikum,Hamburg,1
LI-HAM-20240828-001,Excel,Office,0.91,NER,Praktikum,Hamburg,1
LI-HAM-20240828-001,Python,Programming,0.847,TF-IDF,Praktikum,Hamburg,1
LI-HAM-20240828-001,Tableau,Visualization,0.948,TF-IDF,Praktikum,Hamburg,1
SS-DOR-20250124-001,Python,Programming,0.965,NER,Praktikum,Dortmund,1
SS-DOR-20250124-001,Power BI,Visualization,0.956,NER,Praktikum,Dortmund,1
SS-DOR-20250124-001,Git,DevOps,0.944,NER,Praktikum,Dortmund,1
SS-DOR-20250124-001,NumPy,Programming,0.947,NER,Praktikum,Dortmund,1
SS-DOR-20250124-001,SQL,Database,0.814,NER,Praktikum,Dortmund,1
SS-DOR-20250124-001,Jupyter,Programming,0.929,TF-IDF,Praktikum,Dortmund,1
SS-DOR-20250124-001,Excel,Office,0.932,NER,Praktikum,Dortmund,1
SS-DOR-20250124-001,Machine Learning,ML,0.831,NER,Praktikum,Dortmund,1
SS-DOR-20250124-001,Looker,Visualization,0.853,NER,Praktikum,Dortmund,1
IND-DOR-20240107-001,FastAPI,Programming,0.943,NER,Full-time,Dortmund,2
IND-DOR-20240107-001,Python,Programming,0.818,TF-IDF,Full-time,Dortmund,2
IND-DOR-20240107-001,GCP,Cloud,0.846,NER,Full-time,Dortmund,2
IND-DOR-20240107-001,Kafka,BigData,0.822,NER,Full-time,Dortmund,2
IND-DOR-20240107-001,Kubeflow,ML,0.856,NER,Full-time,Dortmund,2
IND-DOR-20240107-001,Git,DevOps,0.944,NER,Full-time,Dortmund,2
IND-DOR-20240107-001,Azure,Cloud,0.847,TF-IDF,Full-time,Dortmund,2
IND-DOR-20240107-001,SQL,Database,0.856,TF-IDF,Full-time,Dortmund,2
IND-DOR-20240107-001,Airflow,DataEngineering,0.843,NER,Full-time,Dortmund,2
IND-DOR-20240107-001,Hadoop,BigData,0.802,NER,Full-time,Dortmund,2
IND-DOR-20240107-001,Spark,BigData,0.814,NER,Full-time,Dortmund,2
IND-DOR-20240107-001,AWS,Cloud,0.787,TF-IDF,Full-time,Dortmund,2
IND-DOR-20240107-001,Snowflake,Database,0.863,NER,Full-time,Dortmund,2
IND-DOR-20240107-001,dbt,DataEngineering,0.863,TF-IDF,Full-time,Dortmund,2
IND-DOR-20240107-001,Databricks,Cloud,0.802,TF-IDF,Full-time,Dortmund,2
SS-HAM-20250317-001,Python,Programming,0.816,NER,Werkstudent,Hamburg,2
SS-HAM-20250317-001,Kafka,BigData,0.915,NER,Werkstudent,Hamburg,2
SS-HAM-20250317-001,Git,DevOps,0.879,TF-IDF,Werkstudent,Hamburg,2
SS-HAM-20250317-001,Azure,Cloud,0.911,NER,Werkstudent,Hamburg,2
SS-HAM-20250317-001,SQL,Database,0.849,NER,Werkstudent,Hamburg,2
SS-HAM-20250317-001,Airflow,DataEngineering,0.96,NER,Werkstudent,Hamburg,2
SS-HAM-20250317-001,Spark,BigData,0.898,NER,Werkstudent,Hamburg,2
SS-HAM-20250317-001,AWS,Cloud,0.917,NER,Werkstudent,Hamburg,2
SS-HAM-20250317-001,Terraform,DataEngineering,0.876,TF-IDF,Werkstudent,Hamburg,2
SS-HAM-20250317-001,Tableau,Visualization,0.842,NER,Werkstudent,Hamburg,2
SS-HAM-20250317-001,dbt,DataEngineering,0.885,NER,Werkstudent,Hamburg,2
SS-HAM-20250317-001,Databricks,Cloud,0.86,TF-IDF,Werkstudent,Hamburg,2
SS-BER-20250218-003,Python,Programming,0.909,NER,Werkstudent,Berlin,4
SS-BER-20250218-003,BigQuery,Database,0.897,NER,Werkstudent,Berlin,4
SS-BER-20250218-003,Excel,Office,0.857,NER,Werkstudent,Berlin,4
SS-BER-20250218-003,Power BI,Visualization,0.838,NER,Werkstudent,Berlin,4
SS-BER-20250218-003,MicroStrategy,Enterprise,0.862,TF-IDF,Werkstudent,Berlin,4
SS-BER-20250218-003,SQL,Database,0.895,NER,Werkstudent,Berlin,4
SS-BER-20250218-003,SAP,Enterprise,0.868,TF-IDF,Werkstudent,Berlin,4
SS-BER-20250218-003,Looker,Visualization,0.908,TF-IDF,Werkstudent,Berlin,4
IND-ESS-20240228-001,SSRS,Enterprise,0.87,NER,Full-time,Essen,4
IND-ESS-20240228-001,Excel,Office,0.905,NER,Full-time,Essen,4
IND-ESS-20240228-001,Power BI,Visualization,0.878,TF-IDF,Full-time,Essen,4
IND-ESS-20240228-001,SAP,Enterprise,0.844,NER,Full-time,Essen,4
IND-ESS-20240228-001,Streamlit,Programming,0.908,NER,Full-time,Essen,4
IND-ESS-20240228-001,Looker,Visualization,0.933,NER,Full-time,Essen,4
IND-ESS-20240228-001,Tableau,Visualization,0.785,NER,Full-time,Essen,4
SS-COL-20241125-001,FastAPI,Programming,0.967,TF-IDF,Full-time,Cologne,3
SS-COL-20241125-001,Python,Programming,0.941,NER,Full-time,Cologne,3
SS-COL-20241125-001,GCP,Cloud,0.867,TF-IDF,Full-time,Cologne,3
SS-COL-20241125-001,Pandas,Programming,0.817,TF-IDF,Full-time,Cologne,3
SS-COL-20241125-001,Matplotlib,Programming,0.874,NER,Full-time,Cologne,3
SS-COL-20241125-001,TensorFlow,ML,0.808,NER,Full-time,Cologne,3
SS-COL-20241125-001,Git,DevOps,0.95,NER,Full-time,Cologne,3
SS-COL-20241125-001,NumPy,Programming,0.928,NER,Full-time,Cologne,3
SS-COL-20241125-001,SQL,Database,0.813,TF-IDF,Full-time,Cologne,3
SS-COL-20241125-001,Jupyter,Programming,0.868,TF-IDF,Full-time,Cologne,3
SS-COL-20241125-001,Machine Learning,ML,0.827,NER,Full-time,Cologne,3
SS-COL-20241125-001,MLflow,ML,0.867,TF-IDF,Full-time,Cologne,3
SS-COL-20241125-001,Seaborn,Programming,0.907,TF-IDF,Full-time,Cologne,3
LI-HAM-20240425-001,Python,Programming,0.893,TF-IDF,Praktikum,Hamburg,1
LI-HAM-20240425-001,Excel,Office,0.896,TF-IDF,Praktikum,Hamburg,1
LI-HAM-20240425-001,Power BI,Visualization,0.861,TF-IDF,Praktikum,Hamburg,1
LI-HAM-20240425-001,SQL,Database,0.865,NER,Praktikum,Hamburg,1
LI-HAM-20240425-001,Looker,Visualization,0.921,TF-IDF,Praktikum,Hamburg,1
LI-HAM-20240425-001,Tableau,Visualization,0.866,NER,Praktikum,Hamburg,1
LI-BER-20240224-001,Python,Programming,0.94,NER,Werkstudent,Berlin,1
LI-BER-20240224-001,Power BI,Visualization,0.926,TF-IDF,Werkstudent,Berlin,1
LI-BER-20240224-001,NumPy,Programming,0.872,NER,Werkstudent,Berlin,1
LI-BER-20240224-001,SQL,Database,0.832,NER,Werkstudent,Berlin,1
LI-BER-20240224-001,Jupyter,Programming,0.916,NER,Werkstudent,Berlin,1
LI-BER-20240224-001,Seaborn,Programming,0.832,NER,Werkstudent,Berlin,1
LI-BER-20240224-001,Excel,Office,0.95,NER,Werkstudent,Berlin,1
SS-FRA-20241203-002,Python,Programming,0.806,NER,Full-time,Frankfurt,3
SS-FRA-20241203-002,GCP,Cloud,0.853,NER,Full-time,Frankfurt,3
SS-FRA-20241203-002,Pandas,Programming,0.914,NER,Full-time,Frankfurt,3
SS-FRA-20241203-002,BigQuery,Database,0.859,NER,Full-time,Frankfurt,3
SS-FRA-20241203-002,TensorFlow,ML,0.883,TF-IDF,Full-time,Frankfurt,3
SS-FRA-20241203-002,NumPy,Programming,0.792,TF-IDF,Full-time,Frankfurt,3
SS-FRA-20241203-002,SQL,Database,0.854,TF-IDF,Full-time,Frankfurt,3
SS-FRA-20241203-002,Jupyter,Programming,0.96,NER,Full-time,Frankfurt,3
SS-FRA-20241203-002,Machine Learning,ML,0.943,TF-IDF,Full-time,Frankfurt,3
SS-FRA-20241203-002,PyTorch,ML,0.852,NER,Full-time,Frankfurt,3
SS-FRA-20241203-002,MLflow,ML,0.959,NER,Full-time,Frankfurt,3
SS-FRA-20241203-002,R,Programming,0.923,TF-IDF,Full-time,Frankfurt,3
SS-FRA-20241203-002,Seaborn,Programming,0.882,TF-IDF,Full-time,Frankfurt,3
SS-FRA-20241203-002,Excel,Office,0.932,NER,Full-time,Frankfurt,3
LI-BER-20240817-001,Python,Programming,0.873,NER,Full-time,Berlin,2
LI-BER-20240817-001,BigQuery,Database,0.863,NER,Full-time,Berlin,2
LI-BER-20240817-001,Kafka,BigData,0.854,TF-IDF,Full-time,Berlin,2
LI-BER-20240817-001,Git,DevOps,0.918,TF-IDF,Full-time,Berlin,2
LI-BER-20240817-001,Azure,Cloud,0.955,TF-IDF,Full-time,Berlin,2
LI-BER-20240817-001,SQL,Database,0.881,TF-IDF,Full-time,Berlin,2
LI-BER-20240817-001,Airflow,DataEngineering,0.892,NER,Full-time,Berlin,2
LI-BER-20240817-001,Spark,BigData,0.796,TF-IDF,Full-time,Berlin,2
LI-BER-20240817-001,AWS,Cloud,0.806,TF-IDF,Full-time,Berlin,2
LI-BER-20240817-001,Docker,DevOps,0.815,NER,Full-time,Berlin,2
LI-BER-20240817-001,Snowflake,Database,0.852,NER,Full-time,Berlin,2
LI-BER-20240817-001,dbt,DataEngineering,0.866,NER,Full-time,Berlin,2
LI-BER-20240817-001,Databricks,Cloud,0.925,TF-IDF,Full-time,Berlin,2
LI-BER-20240817-001,GCP,Cloud,0.833,TF-IDF,Full-time,Berlin,2
IND-OTH-20240129-002,Python,Programming,0.828,NER,Full-time,Other,2
IND-OTH-20240129-002,BigQuery,Database,0.869,TF-IDF,Full-time,Other,2
IND-OTH-20240129-002,Git,DevOps,0.79,NER,Full-time,Other,2
IND-OTH-20240129-002,Azure,Cloud,0.823,NER,Full-time,Other,2
IND-OTH-20240129-002,NumPy,Programming,0.928,NER,Full-time,Other,2
IND-OTH-20240129-002,Airflow,DataEngineering,0.923,NER,Full-time,Other,2
IND-OTH-20240129-002,Hadoop,BigData,0.818,NER,Full-time,Other,2
IND-OTH-20240129-002,Spark,BigData,0.898,NER,Full-time,Other,2
IND-OTH-20240129-002,AWS,Cloud,0.804,NER,Full-time,Other,2
IND-OTH-20240129-002,Snowflake,Database,0.887,NER,Full-time,Other,2
IND-OTH-20240129-002,dbt,DataEngineering,0.868,NER,Full-time,Other,2
IND-OTH-20240129-002,Databricks,Cloud,0.926,NER,Full-time,Other,2
SS-ESS-20241231-001,Python,Programming,0.895,NER,Werkstudent,Essen,1
SS-ESS-20241231-001,Excel,Office,0.928,NER,Werkstudent,Essen,1
SS-ESS-20241231-001,Matplotlib,Programming,0.963,NER,Werkstudent,Essen,1
SS-ESS-20241231-001,Power BI,Visualization,0.89,NER,Werkstudent,Essen,1
SS-ESS-20241231-001,SQL,Database,0.889,TF-IDF,Werkstudent,Essen,1
SS-ESS-20241231-001,Looker,Visualization,0.855,NER,Werkstudent,Essen,1
SS-ESS-20241231-001,Seaborn,Programming,0.794,NER,Werkstudent,Essen,1
SS-ESS-20241231-001,Tableau,Visualization,0.799,NER,Werkstudent,Essen,1
SS-ESS-20241231-001,Azure,Cloud,0.942,TF-IDF,Werkstudent,Essen,1
LI-MUN-20240717-001,Python,Programming,0.933,TF-IDF,Full-time,Munich,1
LI-MUN-20240717-001,Excel,Office,0.929,NER,Full-time,Munich,1
LI-MUN-20240717-001,Matplotlib,Programming,0.881,NER,Full-time,Munich,1
LI-MUN-20240717-001,Power BI,Visualization,0.793,NER,Full-time,Munich,1
LI-MUN-20240717-001,SQL,Database,0.782,TF-IDF,Full-time,Munich,1
LI-MUN-20240717-001,Tableau,Visualization,0.936,NER,Full-time,Munich,1
IND-MUN-20241102-002,SSRS,Enterprise,0.862,NER,Full-time,Munich,4
IND-MUN-20241102-002,Excel,Office,0.901,TF-IDF,Full-time,Munich,4
IND-MUN-20241102-002,Power BI,Visualization,0.914,TF-IDF,Full-time,Munich,4
IND-MUN-20241102-002,MicroStrategy,Enterprise,0.813,TF-IDF,Full-time,Munich,4
IND-MUN-20241102-002,SAP,Enterprise,0.963,NER,Full-time,Munich,4
IND-MUN-20241102-002,Looker,Visualization,0.897,TF-IDF,Full-time,Munich,4
IND-MUN-20241102-002,Tableau,Visualization,0.927,TF-IDF,Full-time,Munich,4
SS-MUN-20250222-002,GCP,Cloud,0.863,TF-IDF,Full-time,Munich,2
SS-MUN-20250222-002,BigQuery,Database,0.831,NER,Full-time,Munich,2
SS-MUN-20250222-002,Kafka,BigData,0.938,NER,Full-time,Munich,2
SS-MUN-20250222-002,Kubeflow,ML,0.833,TF-IDF,Full-time,Munich,2
SS-MUN-20250222-002,Git,DevOps,0.826,TF-IDF,Full-time,Munich,2
SS-MUN-20250222-002,Azure,Cloud,0.888,TF-IDF,Full-time,Munich,2
